,Syndiniales,Diatoms,Crypto,Dino,Ciliate,Prymn,MAST,Mamiell,ConThree,Abiotic,Other
Syndiniales,0,0,0,0,0,0,0,0,0,0,0
Diatoms,64,201,0,0,0,0,0,0,0,0,0
Crypto,54,119,18,0,0,0,0,0,0,0,0
Dino,14,127,45,26,0,0,0,0,0,0,0
Ciliate,29,83,40,41,15,0,0,0,0,0,0
Prymn,23,48,8,18,17,1,0,0,0,0,0
MAST,14,53,10,16,13,5,4,0,0,0,0
Mamiell,10,41,15,12,9,2,2,3,0,0,0
ConThree,10,31,3,8,3,1,3,3,0,0,0
Abiotic,2,9,5,6,4,4,2,0,0,0,0
Other,3,116,67,54,29,18,22,14,10,4,27
