	Class	Date	Mean	SD
108	Mamiellophyceae	70617	0.079395068	0.011259596
109	Mamiellophyceae	72117	0.09772406	0.006066872
110	Mamiellophyceae	80317	0.205435962	0.013571097
111	Mamiellophyceae	81017	0.088959012	0.007485142
112	Mamiellophyceae	81617	0.119513391	0.00357928
113	Mamiellophyceae	82317	0.073767046	0.00435335
114	Mamiellophyceae	83017	0.085150863	0.006805966
115	Mamiellophyceae	90617	0.091187109	0.004482474
116	Mamiellophyceae	92017	0.13507921	0.006453712
117	Mamiellophyceae	92617	0.282535499	0.011797958
118	Mamiellophyceae	100417	0.093947938	0.005710984
119	Mamiellophyceae	101117	0.134144724	0.006347915
120	Mamiellophyceae	101817	0.069203966	0.006447322
121	Mamiellophyceae	110817	0.108978547	0.003370905
122	Mamiellophyceae	111617	0.224126849	0.019149016
123	Mamiellophyceae	112117	0.213930212	0.001047149
124	Mamiellophyceae	121417	0.148129212	0.024731717
125	Spirotrichea	11618	0.070624807	0.026257843
126	Spirotrichea	12418	0.068281323	0.012596023
127	Spirotrichea	20118	0.145839888	0.006159415
128	Spirotrichea	20818	0.095659508	0.006357821
129	Spirotrichea	22118	0.078960432	0.011487794
130	Spirotrichea	31617	0.102145389	0.008802783
131	Spirotrichea	32217	0.089676264	0.017188024
132	Spirotrichea	32917	0.08106141	0.002758572
133	Spirotrichea	42017	0.068918149	0.008534872
134	Spirotrichea	50317	0.098260757	0.013878361
135	Spirotrichea	60717	0.088408735	0.007108743
136	Spirotrichea	70617	0.062918321	0.002587932
137	Spirotrichea	72117	0.060182946	0.008302558
138	Spirotrichea	72717	0.092262358	0.002677111
139	Spirotrichea	80317	0.078233559	0.009398811
140	Spirotrichea	81017	0.067617247	0.008465839
141	Spirotrichea	81617	0.109530804	0.013530962
142	Spirotrichea	82317	0.080204216	0.005619338
143	Spirotrichea	83017	0.083144615	0.017218019
144	Spirotrichea	92617	0.061038317	0.01338072
145	Spirotrichea	100417	0.093735723	0.010621056
146	Spirotrichea	101117	0.126620782	0.026084569
147	Spirotrichea	101817	0.081562109	0.007844769
148	Spirotrichea	110817	0.064942194	0.006452217
149	Spirotrichea	111617	0.065423378	0.014521386
150	Spirotrichea	112117	0.170465637	0.003236928
151	Spirotrichea	121417	0.100710603	0.004755802
152	Syndiniales	22118	0.057267787	0.002172787
153	Syndiniales	31617	0.050306198	0.003628636
154	Syndiniales	32917	0.079864789	0.006515463
155	Syndiniales	41217	0.075520913	0.007969355
156	Syndiniales	42017	0.065844239	0.007914705
157	Syndiniales	60717	0.239381515	0.011893229
158	Syndiniales	61517	0.145985891	0.015172408
159	Syndiniales	62217	0.177427256	0.00120207
160	Syndiniales	70617	0.147161394	0.004765465
161	Syndiniales	72117	0.156749004	0.003935974
162	Syndiniales	72717	0.199364955	0.014934548
163	Syndiniales	80317	0.280704283	0.012256221
164	Syndiniales	81017	0.196453437	0.027550007
165	Syndiniales	81617	0.151317664	0.006501624
166	Syndiniales	82317	0.10654733	0.008405854
167	Syndiniales	83017	0.278412388	0.010689901
168	Syndiniales	90617	0.193034012	0.002911702
169	Syndiniales	92017	0.182739206	0.007981037
170	Syndiniales	92617	0.149173468	0.006362096
171	Syndiniales	100417	0.064551488	0.002646885
172	Syndiniales	101117	0.095302106	0.00190464
173	Syndiniales	101817	0.129812968	0.006809186
174	Syndiniales	110817	0.062621641	0.000704004
175	Other	11618	0.132	0.019974984
176	Other	12418	0.168666667	0.015011107
177	Other	20118	0.203666667	0.003511885
178	Other	20818	0.215666667	0.010066446
179	Other	22118	0.115	0.01
180	Other	31617	0.191666667	0.028431204
181	Other	32217	0.118666667	0.020502032
